topic,word,score,custom_label
0,species,0.018710424038058664,Topic 0
0,plants,0.01732697018563147,Topic 0
0,plant,0.013323735178605366,Topic 0
0,genetic,0.009277149935013967,Topic 0
0,stress,0.008276474876346371,Topic 0
0,gene,0.00827418995372355,Topic 0
0,populations,0.008065536569394714,Topic 0
0,genes,0.007998647089141322,Topic 0
0,breeding,0.00716330377092556,Topic 0
0,traits,0.006933469456863602,Topic 0
1,extracts,0.018994599875773777,Topic 1
1,antioxidant,0.01513462102563168,Topic 1
1,content,0.014990828421901579,Topic 1
1,oil,0.014045452813314185,Topic 1
1,acid,0.012698379227646571,Topic 1
1,extract,0.012374162532442126,Topic 1
1,activity,0.012342035475226209,Topic 1
1,compounds,0.012183850222984917,Topic 1
1,plant,0.011316405786510175,Topic 1
1,mg,0.010966553055763974,Topic 1
2,patients,0.017193277754734927,Topic 2
2,heart,0.01547665531403383,Topic 2
2,coronary,0.014208215937741138,Topic 2
2,af,0.01288755067905888,Topic 2
2,heart failure,0.012214746382745459,Topic 2
2,artery,0.011676789458496513,Topic 2
2,left,0.011325340306073418,Topic 2
2,failure,0.011203633484451053,Topic 2
2,atrial,0.010940246850084838,Topic 2
2,hf,0.01006755614904223,Topic 2
3,covid,0.039099435259911865,Topic 3
3,covid 19,0.03720213633756278,Topic 3
3,19,0.03397679397633104,Topic 3
3,sars,0.020791997925282538,Topic 3
3,cov,0.020320249223341226,Topic 3
3,sars cov,0.0200214509559156,Topic 3
3,vaccination,0.01551130052411569,Topic 3
3,infection,0.013232277065970239,Topic 3
3,coronavirus,0.0115193374375823,Topic 3
3,respiratory,0.011447585337735095,Topic 3
4,dental,0.02716953954969562,Topic 4
4,teeth,0.018648768023713833,Topic 4
4,laser,0.01363735757035279,Topic 4
4,bone,0.011324969692880937,Topic 4
4,oral,0.010194022620878773,Topic 4
4,materials,0.009981880481778766,Topic 4
4,tooth,0.009531976069116056,Topic 4
4,periodontal,0.009483094249965476,Topic 4
4,caries,0.009399909212685078,Topic 4
4,periodontitis,0.00880451811379132,Topic 4
5,hepatitis,0.018515934609356823,Topic 5
5,hev,0.016230207047405815,Topic 5
5,virus,0.01591828990197093,Topic 5
5,hcv,0.015844065954828315,Topic 5
5,infection,0.014340802342190354,Topic 5
5,bulgaria,0.012203176665670385,Topic 5
5,hbv,0.011825384554170846,Topic 5
5,cases,0.00988530695232722,Topic 5
5,countries,0.00970527128671498,Topic 5
5,antibodies,0.007720466223578841,Topic 5
6,isolates,0.03125460519778474,Topic 6
6,resistance,0.02557953640679258,Topic 6
6,resistant,0.017759301120415294,Topic 6
6,antimicrobial,0.015129050159641035,Topic 6
